subj_idx,context,GroupCount,mean_FC3,mean_FC1,mean_C3,mean_CP3,mean_P1,mean_P3,mean_P5,mean_Pz,mean_Con1,mean_Con2,mean_Con3
23121,FO,3,-12.96165721,-12.99322828,-10.22033532,-13.26829497,-13.52781995,-12.92595069,-11.5232598,-15.3669459,-1,1,-1
23121,OF,3,46.25477091,-8.850545883,-15.84023126,24.20783668,-15.62879753,-13.97599697,21.32779683,-12.74268977,1,-1,-1
23121,OO,3,19.82691701,38.20888498,61.24496746,39.5132388,38.26792547,38.94671832,40.96512085,37.19784037,1,1,1
24120,FF,3,90.33231735,170.0674483,155.4500404,83.30154377,70.60682869,84.92649142,95.0159893,135.0473706,-1,-1,1
24120,FO,3,161.589166,-22.58553759,57.1264214,46.12988747,-35.07282321,-41.89430682,-39.94163958,-31.39875507,-1,1,-1
24120,OF,3,82.81814702,-20.22934914,118.2243014,2.619828542,-2.455729802,0.167666753,1.600248337,-1.562954903,1,-1,-1
24120,OO,3,-18.34037399,94.50764105,-17.60527356,-32.83814112,-33.32186953,-34.83461444,-36.73936399,-31.57451852,1,1,1
25130,FF,3,320.3846656,-14.8970267,-108.5245438,-121.4893799,-29.82117081,613.3468679,633.371137,-14.16978772,-1,-1,1
25130,FO,3,-27.11353048,-4.356631597,-30.66561635,-97.09655762,-65.42294693,329.7746531,348.8718847,-38.4659303,-1,1,-1
25130,OF,3,401.2649757,129.1192498,653.5346061,890.8750203,317.3926286,754.4060109,927.9388504,151.3606832,1,-1,-1
25130,OO,3,7.1725786,147.9480364,22.79154544,629.5571493,249.4339901,-85.27577209,-111.6207962,144.8091136,1,1,1
26131,FF,3,-3.532405297,4.089701997,13.75337651,9.293749796,1.814310696,1.9061696,2.233884599,1.441804237,-1,-1,1
26131,FO,3,10.13906815,3.830388731,-0.321025451,-0.814579924,2.469149417,-0.168567578,0.608546257,-0.480764588,-1,1,-1
26131,OF,3,-0.686522245,4.0752284,5.735894971,5.112310423,7.246349507,8.076740874,1.831654019,2.224776255,1,-1,-1
26131,OO,3,5.772557126,2.706854211,4.625227107,3.676510506,-1.257181048,2.216660208,-0.582446734,-0.604147633,1,1,1
27140,FF,3,5.774091217,2.265920401,3.123980429,2.805388874,5.742438462,7.06672087,1.564926426,1.640225199,-1,-1,1
27140,FO,3,10.13244616,6.472507291,8.064994587,1.826539305,6.774474449,7.118645257,-0.92151622,6.490934107,-1,1,-1
27140,OF,3,4.279124075,4.774900887,0.675617894,0.575926463,2.135073702,0.601390481,1.40741686,4.001752165,1,-1,-1
27140,OO,3,9.779481437,5.205155823,3.203235534,3.241740333,-2.605988781,-1.784551024,-3.806941311,2.485296832,1,1,1
28141,FF,3,21.39859295,22.75681549,21.69844257,23.22929674,10.75896502,11.16112804,10.30088218,10.60469453,-1,-1,1
28141,FO,3,20.08234564,14.70054489,16.67675728,-3.226802985,-4.4168938,30.86538304,18.44455481,16.51956987,-1,1,-1
28141,OF,3,25.35098934,21.8215687,25.67853366,22.35607311,23.35873514,24.44214386,28.15733226,21.9212842,1,-1,-1
28141,OO,3,25.76316738,-5.532525698,20.5735392,-3.715759436,18.8385681,20.38680024,-2.530477683,19.77261655,1,1,1
29150,FF,3,292.2686149,175.6235725,171.4937914,44.80394236,177.2117411,175.6976691,30.25455475,186.5821576,-1,-1,1
29150,FO,3,267.2397452,269.1765984,270.3751967,277.132203,279.0107015,282.3816562,284.7926644,143.3490134,-1,1,-1
29150,OF,3,18.47836558,13.60258993,8.983093262,24.54044342,140.1647034,129.8184882,137.4070324,139.7859743,1,-1,-1
29150,OO,3,299.4186393,305.9514906,139.6901313,138.5784395,141.5912476,143.7476976,139.2009574,137.4172304,1,1,1
30151,FF,3,2.104907725,0.16916432,1.781822165,1.963051829,4.54820819,1.403862192,4.406053755,3.109847774,-1,-1,1
30151,FO,3,1.969195101,1.752478169,3.305859844,3.223736001,4.479777767,-0.085847278,-0.249032338,3.841107299,-1,1,-1
30151,OF,3,6.780506929,3.606452896,0.839342554,2.231301182,1.503539926,3.436294364,0.783123122,1.238238484,1,-1,-1
