subj_idx,context,GroupCount,mean_P1,mean_P3,mean_Pz,mean_CPz,mean_CP2,mean_P2,mean_P4,mean_P6,mean_Con1,mean_Con2,mean_Con3
16080,FO,3,-28.38684531,26.16513152,48.8447504,48.15593057,-12.37342294,-8.670337339,22.01956293,-12.13038063,-1,1,-1
16080,OF,3,-10.33173184,-11.64077743,6.072598457,-13.97952445,-11.21694088,4.933140179,5.456710498,-15.99769815,1,-1,-1
16080,OO,3,93.36517529,110.1841422,71.59071255,86.58666457,68.05675666,72.6165304,61.28125011,43.31247701,1,1,1
17091,FF,3,41.58720626,-10.39930598,-0.628068566,4.595901738,3.839788914,4.235331774,2.86894989,12.63388409,-1,-1,1
17091,FO,3,43.33493959,10.325307,42.35705083,54.72285665,6.858252154,1.938437329,16.58253246,13.96891718,-1,1,-1
17091,OF,3,6.374425623,-34.03903898,-34.48223937,22.79358851,-29.12634675,-33.23083727,-28.73495547,-23.9615473,1,-1,-1
17091,OO,3,20.24310785,23.21278042,9.230221947,-5.671919892,-21.22326994,-3.969435453,-22.89831289,-12.54446991,1,1,1
19101,FF,3,-31.09954898,-22.0786047,-7.465396166,-27.16298834,-21.34285466,29.86698307,-10.45920138,10.38230406,-1,-1,1
19101,FO,3,29.17160606,15.96471352,22.85023946,37.71938059,68.90268405,43.47356953,37.09939555,17.44217573,-1,1,-1
19101,OF,3,-8.533109029,30.63309977,-6.222029977,50.11293422,17.1499486,24.22157762,-27.37741339,24.64672616,1,-1,-1
19101,OO,3,-6.846827189,6.864649561,18.50448675,38.73872365,58.88095808,34.26076028,-51.74925053,12.6584074,1,1,1
20100,FF,3,11.51087187,-0.656240503,18.36145472,-1.411277519,18.50649921,19.45444938,20.67835957,14.23286772,-1,-1,1
20100,FO,3,3.141985516,-4.683437705,2.302800079,-12.62469025,-5.5846711,7.920955698,33.78440262,46.74687878,-1,1,-1
20100,OF,3,20.58373835,20.92394735,25.1210053,-6.307677176,11.16671793,35.52765842,14.6446332,-6.900807858,1,-1,-1
20100,OO,3,8.880262355,12.52978419,10.37569943,8.576086932,15.06457305,17.30547527,11.2049828,25.61387968,1,1,1
22110,FF,3,52.04879839,-29.68602812,34.11940585,-6.102051073,44.73723226,39.35988181,40.04105306,23.8973703,-1,-1,1
22110,FO,3,-2.385857711,-43.85888898,3.136553764,-17.70197797,-6.95580562,2.898624798,6.591955403,3.62605678,-1,1,-1
22110,OF,3,60.19281593,48.71619745,32.84386105,67.47215078,34.63598002,63.9374435,17.66706855,48.05640408,1,-1,-1
22110,OO,3,-8.00946026,-39.05486651,-37.92883269,-18.53103058,-32.42641592,-37.51311137,-31.88484297,-18.94168716,1,1,1
23121,FF,3,-29.55525029,0.468316893,-31.10742357,-4.760990272,-35.49502915,-34.94460474,-26.3566615,-22.76914879,-1,-1,1
23121,FO,3,15.50219097,3.912147423,4.787471026,-2.886879673,1.613665879,3.813772668,6.225286623,5.259863549,-1,1,-1
23121,OF,3,26.07836399,-6.89318337,24.76347948,-9.632459015,-0.126604749,-9.291598688,-10.40178906,-0.822145449,1,-1,-1
23121,OO,3,-1.126002563,12.82664698,8.955028921,23.8193285,7.125248796,11.41310484,-3.850790613,-2.99615652,1,1,1
24120,FF,3,54.84956996,43.80058365,120.7021335,58.97643473,53.1190683,52.6204,-0.477782514,37.39711404,-1,-1,1
24120,FO,3,39.16373444,21.58917223,43.3156076,18.02079701,43.07572158,37.32245604,34.73513227,9.527332862,-1,1,-1
24120,OF,3,11.97281265,5.127517303,20.48484919,14.54022977,82.09765895,84.35259681,50.85049635,28.73148195,1,-1,-1
24120,OO,3,-56.77834892,-36.56940627,-43.60763836,-51.07298986,-47.28433784,-46.91740576,-34.1967562,-12.76846321,1,1,1
25130,FF,3,4.684257666,-6.82463944,2.899689754,1.126020657,3.186558937,0.928619736,15.61817319,-14.96194317,-1,-1,1
25130,FO,3,-1.463536421,-1.10263394,-1.411071062,5.550071147,2.645387227,0.1927938,-1.856676833,8.255134814,-1,1,-1
25130,OF,3,-9.379056454,0.611530503,-15.01624656,-20.51937242,-18.52170435,-16.18059045,-8.610219131,1.268199186,1,-1,-1
25130,OO,3,-13.22450209,-6.401380181,-12.15945284,-20.97103798,-11.28864131,-10.98216659,0.393942863,-6.038272639,1,1,1
26131,FF,3,-9.801307599,3.052927441,-13.3075345,55.59974088,19.67339036,-17.15468852,13.39368187,11.04349184,-1,-1,1
26131,FO,3,-17.2440331,-17.06879489,-13.61400855,-12.89372985,-8.453255097,-11.9062767,19.87719348,-10.61198155,-1,1,-1
26131,OF,3,27.20558635,26.94040468,25.3838855,35.62628248,37.25095269,27.44738091,28.38320163,31.4869736,1,-1,-1
26131,OO,3,22.75248679,12.63421864,24.2828418,23.58353625,24.06664814,30.25421736,34.79410042,29.50210396,1,1,1
27140,FF,3,-25.63121774,-23.37289131,-26.00141351,-33.91473186,-22.21197478,-19.02473017,-11.46949146,-7.661823034,-1,-1,1
27140,FO,3,-30.22408193,-34.98873667,-23.91858154,-51.91031047,-33.7997783,-27.71560442,12.58495946,-7.383058627,-1,1,-1
27140,OF,3,21.29042237,14.97757502,22.65632041,2.530908095,5.382561578,18.41936839,15.03783794,4.933480766,1,-1,-1
27140,OO,3,-2.948520985,-2.904571017,-7.784982446,-6.060605221,1.018060896,1.53884534,-5.150725186,-9.269168933,1,1,1
28141,FF,3,2.285242359,-2.29029878,0.174962203,-5.845979969,-4.058066448,5.597672145,0.875907342,-7.255184134,-1,-1,1
28141,FO,3,30.24767037,43.02990521,29.56147952,31.82708156,35.0398936,27.4311498,35.00448373,-8.609154264,-1,1,-1
28141,OF,3,10.40178668,17.16503917,14.49107228,13.98463547,18.84484024,61.73243523,64.12509428,55.04933123,1,-1,-1
28141,OO,3,-17.04533358,-20.16514842,-21.05348221,-8.505191048,-16.72036656,-18.7729435,-26.60918959,-16.29868948,1,1,1
29150,FF,3,36.56551287,18.79791609,44.88983101,10.00040817,29.93715191,38.28176159,24.77750905,24.7638882,-1,-1,1
29150,FO,3,-53.59663359,-29.27085463,36.65515847,-83.81257375,-90.01842658,-70.69362513,-54.52918879,-44.60413949,-1,1,-1
29150,OF,3,42.41378074,118.4660813,68.60774687,58.51207182,64.74044577,58.17192883,38.69532013,15.96454159,1,-1,-1
29150,OO,3,83.54943413,-19.73038514,63.40458626,84.12606091,-25.7853632,-21.14224964,87.72318776,67.90614176,1,1,1
30151,FF,3,20.10447137,23.4259276,32.52625599,7.039095461,9.054871639,6.942058639,18.6521616,1.472104881,-1,-1,1
30151,FO,3,10.22779004,6.572699745,4.98344479,17.33512455,3.699627956,6.421237227,7.97242006,4.959112419,-1,1,-1
30151,OF,3,14.56277831,8.657577051,9.853047245,-5.781039536,4.855686585,8.080648651,-12.48612816,6.21822287,1,-1,-1
30151,OO,3,-11.69786596,-12.93612524,15.94459171,-8.814222634,-3.879675468,-7.817301522,-4.152534164,13.21401984,1,1,1
36181,FF,3,17.94806682,34.43520713,10.5269888,31.11271207,-1.564168294,18.96763196,14.05090948,23.88226869,-1,-1,1
36181,FO,3,1.071686533,-20.90383077,13.80283719,11.89467573,4.622966554,23.93981744,70.01841033,26.25021574,-1,1,-1
36181,OF,3,11.8332243,33.07202045,17.21237228,19.79741653,-4.143996133,5.525651601,-5.588326097,1.805486679,1,-1,-1
36181,OO,3,2.929098235,8.730211496,-20.34524083,7.200917085,-15.49738693,-14.69418752,-7.555576921,-22.88996506,1,1,1
37191,FF,3,-8.719556173,-13.9431202,-0.439907948,-4.128127337,1.409046729,-1.411592007,-7.555760066,4.017657975,-1,-1,1
37191,FO,3,6.034226735,0.233184298,21.50441077,27.80696299,20.31529339,17.3650296,17.9268216,21.86841702,-1,1,-1
37191,OF,3,42.09497155,3.22387445,52.72218225,47.19653,55.17660673,52.57595068,57.03602325,33.55007926,1,-1,-1
37191,OO,3,20.56001578,25.42021883,25.15998684,8.550394085,13.21062064,26.20204412,33.03886308,45.76295988,1,1,1
39201,FF,3,9.858842373,-49.82202721,18.84771474,30.11899424,31.07309641,23.99022436,-8.107504368,-9.801807404,-1,-1,1
39201,FO,3,61.98407867,0.527277417,89.23616028,97.33098618,83.16425761,110.4568505,144.0978227,155.0235193,-1,1,-1
39201,OF,3,57.01511251,16.53071319,17.22333908,-38.72280677,26.18914649,-51.01960103,51.53009844,64.82677417,1,-1,-1
39201,OO,3,-16.52080774,-10.22237714,18.32368851,22.95580022,-35.00476193,-36.93176254,-6.936575413,95.59708616,1,1,1
44220,FF,3,-0.870961348,1.071917832,-1.666225751,14.94219049,13.93962223,15.52206914,7.733930435,-6.047821204,-1,-1,1
44220,FO,3,-0.309844865,7.184368564,1.284098625,6.59698391,5.039335264,58.65537755,9.501841711,20.48018387,-1,1,-1
44220,OF,3,0.022521019,8.555805001,8.706887563,-9.573081017,3.743666026,10.9000624,0.813577818,-2.642835988,1,-1,-1
44220,OO,3,-2.350807031,-3.677474678,13.00871754,17.21058369,4.811092072,7.750527541,6.27695736,3.446623749,1,1,1
45231,FF,3,31.26015502,26.19117296,33.48830162,41.66689452,76.57976725,43.6002916,58.15047987,46.52175089,-1,-1,1
45231,FO,3,-14.450677,26.65360073,-21.13874809,-24.91613698,-9.373675055,-21.41928824,35.68283614,18.80101955,-1,1,-1
45231,OF,3,4.747499122,21.95475709,-3.658829927,-0.793901205,-8.980468194,-13.1981353,-22.34625252,18.87862639,1,-1,-1
45231,OO,3,-2.450119363,-4.790304144,-36.42299294,-54.9029429,-3.922965394,-32.88686617,-35.16841324,-7.100768765,1,1,1
47241,FF,3,1.013936626,-2.894193371,17.29210869,-22.01317726,-25.35200534,15.88713513,-5.337003867,-6.842277845,-1,-1,1
47241,FO,3,-6.019708792,-9.49432536,-1.714232286,-7.99162962,25.19080115,-2.276465257,1.086272187,-4.921456973,-1,1,-1
47241,OF,3,31.48164182,23.55389053,31.94095532,14.58765273,-5.988306537,20.02364545,6.895554172,6.518124898,1,-1,-1
47241,OO,3,-3.58449528,29.12181951,32.49859921,-6.06141952,13.97588426,37.04803292,27.98511807,-6.397858302,1,1,1
48240,FF,3,69.67241139,48.23659115,64.79234081,29.43534629,-24.9706769,-10.94255765,-46.32674476,-51.32998836,-1,-1,1
48240,FO,3,37.16024547,-5.384312391,28.66418097,44.17226442,23.44366185,58.66542689,35.31094446,55.99123739,-1,1,-1
48240,OF,3,-18.57708804,-18.65317798,27.25269339,-27.02658749,2.684611162,8.175459544,-19.40691062,-50.0660342,1,-1,-1
48240,OO,3,37.71404542,-3.437602811,80.38065317,65.55431334,-30.25592597,29.1297991,-21.26213017,-25.99728798,1,1,1
49250,FF,3,25.71562068,0.631818414,38.87076355,31.5144281,17.53061738,46.52242935,-4.741030137,68.70655145,-1,-1,1
49250,FO,3,-13.13683001,-13.41485186,-17.86460936,-17.03405042,-5.431168834,-9.226079901,-7.897620598,29.35977512,-1,1,-1
49250,OF,3,12.54805883,-0.652600328,5.755535987,-0.420551101,18.68087704,39.36696899,-3.396548086,86.38523526,1,-1,-1
49250,OO,3,27.52241643,28.05291975,37.1871253,0.566381733,0.000987702,8.642008265,-9.461048524,17.85394118,1,1,1
50251,FF,3,52.46945518,59.88891513,40.63692123,68.38813682,43.16102617,39.91922861,35.68661413,33.63327781,-1,-1,1
50251,FO,3,-11.30314044,52.13466987,16.82308567,35.63552537,29.58364136,18.71623256,18.15725842,24.40934587,-1,1,-1
50251,OF,3,-76.05406662,-49.3956123,-75.93778686,-126.9786568,-85.5341384,-66.45250877,-62.41172198,-48.90176892,1,-1,-1
50251,OO,3,-55.41520846,-38.57674589,-59.14964434,-132.530017,-85.18582825,-72.38485575,-79.68691933,-70.31281463,1,1,1
51260,FF,3,26.86198407,24.97285974,-35.81022994,-20.1563673,-11.54015764,-28.85512273,-17.88109234,-9.180656542,-1,-1,1
51260,FO,3,12.54440199,34.14260741,22.85813109,0.806351662,3.48663044,27.46910482,25.88808538,14.12379664,-1,1,-1
51260,OF,3,17.86509342,18.00955832,9.412803332,15.66786183,10.43414084,7.744622601,7.883050617,7.904446142,1,-1,-1
51260,OO,3,1.440526883,-1.314025998,43.30873775,-3.599012057,-8.020799319,35.32682668,23.32281334,10.71308312,1,1,1
53270,FF,3,-73.93150187,-49.46429205,-72.91367491,-83.29371536,-53.04875461,-72.06260586,-69.02624591,-34.04493443,-1,-1,1
53270,FO,3,59.47578457,36.66222101,58.17705613,49.91225469,60.26804725,44.5640902,55.18877045,47.72006061,-1,1,-1
53270,OF,3,-22.63413848,-17.17814408,113.7183957,116.3408854,109.997654,124.2066401,165.6308757,100.6734603,1,-1,-1
53270,OO,3,-42.1165204,-52.07729928,-52.5732526,-40.04570345,-39.69052068,-16.76944023,-13.47415018,127.4037797,1,1,1
54271,FF,3,-26.84282374,-31.33176215,-31.07527375,-28.40856071,36.60967567,46.5623072,65.51624065,-65.29334831,-1,-1,1
54271,FO,3,5.831533247,1.698904885,-0.324745999,49.98961755,0.344228586,100.0918701,86.39523082,-21.92282613,-1,1,-1
54271,OF,3,-13.67357039,-15.75689109,-14.11654528,-15.19854001,62.56067218,10.2867039,-2.900874456,6.419265747,1,-1,-1
54271,OO,3,-7.991093874,-0.088562648,64.28324209,15.92576325,22.51267682,64.7012461,47.79475382,-19.28031095,1,1,1
56281,FF,3,7.690071609,-11.58082318,-4.805358291,-43.47209493,-43.24224019,7.857623365,15.25752115,2.292002784,-1,-1,1
