subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,Ave_TF
12061,2,A,28,OO,0.413,-1,1,0,-1,NoLoss,-1,2,1024.367,1024.78,-0.412086554017841
12061,2,A,29,OO,0.396,1,1,1,1,Gain  ,1,2,1028.02,1028.416,1.74903849274546
12061,2,A,30,OO,0.431,0,1,0,0,Cntrl ,0,2,1032.223,1032.654,0.41486433749736
12061,2,A,31,OO,0.334,-1,1,1,-1,NoLoss,1,1,1036.377,1036.711,-3.06796549422556
12061,2,A,32,OO,0.303,1,1,1,1,Gain  ,1,1,1040.347,1040.65,7.22978710584441
12061,2,A,33,OO,0.418,1,0,0,0,Gain  ,0,1,1044.634,1045.052,-7.51784442664093
12061,2,A,34,OO,0.321,1,1,1,1,Gain  ,1,2,1048.704,1049.025,4.29459186497779
12061,2,A,35,OO,0.411,0,1,0,0,Cntrl ,0,2,1052.457,1052.868,1.62434843828006
12061,2,A,37,OF,0.395,-1,1,1,-1,NoLoss,1,1,1068.537,1068.932,0.606401043693134
12061,2,A,38,OF,0.411,0,1,0,0,Cntrl ,0,1,1072.924,1073.335,-1.23156352962176
12061,2,A,39,OF,0.242,1,1,1,1,Gain  ,1,1,1076.56,1076.802,-9.83185509495534
12061,2,A,40,OF,0.383,-1,1,1,-1,NoLoss,1,2,1079.98,1080.363,-2.97297219328221
12061,2,A,41,OF,0.387,0,1,1,0,Cntrl ,0,2,1084.033,1084.42,0.615393753295097
12061,2,A,42,OF,0.254,1,1,1,1,Gain  ,1,2,1088.37,1088.624,2.93179461027319
12061,2,A,43,OF,0.324,0,1,1,0,Cntrl ,0,1,1092.407,1092.731,0.721637764680886
12061,2,A,44,OF,0.344,-1,0,0,1,NoLoss,-0.5,1,1095.776,1096.12,1.69656950749595
12061,2,A,45,OF,0.258,-1,1,1,-1,NoLoss,1,1,1099.329,1099.587,-4.60652770359799
12061,2,A,46,OF,0.296,1,1,1,1,Gain  ,1,2,1103.016,1103.312,0.553235345840217
12061,2,A,47,OF,0.372,0,1,1,0,Cntrl ,0,2,1107.119,1107.491,-4.19289780131263
12061,2,A,48,OF,0.315,-1,1,1,-1,NoLoss,1,2,1111.389,1111.704,-3.66515622250197
12061,2,A,49,OF,0.381,0,1,1,0,Cntrl ,0,1,1115.543,1115.924,-3.81363501455785
12061,2,A,50,OF,0.212,1,1,1,1,Gain  ,1,1,1119.446,1119.658,-0.205689747920276
12061,2,A,51,OF,0.323,-1,1,1,-1,NoLoss,1,1,1123.383,1123.706,-7.47981674342238
12061,2,A,52,OF,0.348,1,1,1,1,Gain  ,1,2,1126.969,1127.317,-5.54653836206088
12061,2,A,53,OF,0.331,0,1,1,0,Cntrl ,0,2,1131.156,1131.487,0.685527707651481
12061,2,A,54,OF,0.326,-1,1,1,-1,NoLoss,1,2,1134.542,1134.868,-5.81243596697953
12061,2,A,55,OF,0.283,1,1,1,1,Gain  ,1,1,1138.729,1139.012,-3.50787948202394
12061,2,A,56,OF,0.415,0,1,0,0,Cntrl ,0,1,1142.065,1142.48,2.69122800331633
12061,2,A,57,OF,0.318,-1,1,1,-1,NoLoss,1,1,1146.085,1146.403,3.86662898397066
12061,2,A,58,OF,0.262,1,0,0,0,Gain  ,0,2,1149.988,1150.25,-1.7570884792932
12061,2,A,59,OF,0.412,-1,1,0,-1,NoLoss,-0.5,2,1154.092,1154.504,3.66753761666821
12061,2,A,60,OF,0.302,1,1,1,1,Gain  ,1,2,1158.028,1158.33,-8.16016443861974
12061,2,A,61,OF,0.34,2,0,0,-1,Cntrl ,-0.5,1,1161.781,1162.121,6.18962215296207
12061,2,A,62,OF,0.306,1,1,1,1,Gain  ,1,1,1165.918,1166.224,-1.34827278651586
12061,2,A,64,OF,0.31,-1,1,1,-1,NoLoss,1,2,1174.475,1174.785,-3.23497944126811
12061,2,A,65,OF,0.329,1,1,1,1,Gain  ,1,2,1178.479,1178.808,-1.04843913072103
12061,2,A,67,OF,0.321,-1,1,1,-1,NoLoss,1,1,1185.968,1186.289,1.54282020699654
12061,2,A,69,OF,0.317,1,1,1,1,Gain  ,1,1,1194.108,1194.425,-6.26890534636655
12061,2,A,70,OF,0.496,-1,1,0,-1,NoLoss,-0.5,2,1198.112,1198.608,-0.0741883114113695
12061,2,A,71,OF,0.462,1,1,0,1,Gain  ,-0.5,2,1201.798,1202.26,-0.151129398927909
12061,2,A,73,FF,0.428,-1,1,0,-1,NoLoss,-0.5,1,1214.075,1214.503,2.04271341743363
12061,2,A,74,FF,0.306,1,1,1,1,Gain  ,0.5,1,1218.128,1218.434,5.64243347326003
12061,2,A,76,FF,0.326,-1,1,1,-1,NoLoss,0.5,2,1225.151,1225.477,1.44768859750839
12061,2,A,77,FF,0.387,1,1,1,1,Gain  ,0.5,2,1229.004,1229.391,4.99646646239428
12061,2,A,78,FF,0.487,1,0,0,0,Gain  ,0,2,1232.824,1233.311,2.30718413552063
12061,2,A,79,FF,0.489,1,1,0,1,Gain  ,-0.5,1,1236.36,1236.849,-1.04421173256867
12061,2,A,80,FF,0.315,-1,1,1,-1,NoLoss,0.5,1,1240.831,1241.146,2.420014944861
12061,2,A,82,FF,0.306,1,1,1,1,Gain  ,0.5,2,1249.371,1249.677,0.640092864222594
12061,2,A,84,FF,0.346,-1,1,1,-1,NoLoss,0.5,2,1256.811,1257.157,5.16429224612309
12061,2,A,85,FF,0.28,1,1,1,1,Gain  ,0.5,1,1260.964,1261.244,-2.83859327224396
12061,2,A,87,FF,0.371,-1,1,1,-1,NoLoss,0.5,1,1268.971,1269.342,2.3805395009474
12061,2,A,88,FF,0.312,1,1,1,1,Gain  ,0.5,2,1273.074,1273.386,7.93438545747465
12061,2,A,89,FF,0.448,-1,1,0,-1,NoLoss,-0.5,2,1276.927,1277.375,-5.8770079448827
12061,2,A,90,FF,0.334,1,0,0,0,Gain  ,0,2,1280.48,1280.814,4.28370620800492
12061,2,A,91,FF,0.441,-1,1,0,-1,NoLoss,-0.5,1,1284.834,1285.275,6.27767333917754
12061,2,A,92,FF,0.366,1,0,0,0,Gain  ,0,1,1288.52,1288.886,0.443624781627213
12061,2,A,93,FF,0.207,1,1,1,1,Gain  ,0.5,1,1292.307,1292.514,6.16250209034311
12061,2,A,94,FF,0.298,-1,1,1,-1,NoLoss,0.5,2,1296.377,1296.675,6.82223884178496
12061,2,A,95,FF,0.497,1,1,0,1,Gain  ,-0.5,2,1300.597,1301.094,1.8900974056372
12061,2,A,97,FF,0.371,1,1,1,1,Gain  ,0.5,1,1307.853,1308.224,1.99369034349673
12061,2,A,99,FF,0.302,-1,1,1,-1,NoLoss,0.5,1,1315.259,1315.561,-4.44770162716609
12061,2,A,100,FF,0.334,1,0,0,0,Gain  ,0,2,1318.829,1319.163,-0.163957664062941
12061,2,A,101,FF,0.284,1,1,1,1,Gain  ,0.5,2,1322.448,1322.732,-1.67156805698846
12061,2,A,102,FF,0.3,-1,1,1,-1,NoLoss,0.5,2,1326.669,1326.969,8.86786980125365
12061,2,A,103,FF,0.26,1,0,0,0,Gain  ,0,1,1330.972,1331.232,4.03865721958412
12061,2,A,104,FF,0.36,1,1,1,1,Gain  ,0.5,1,1335.092,1335.452,-6.48548623756702
12061,2,A,105,FF,0.361,-1,1,1,-1,NoLoss,0.5,1,1338.712,1339.073,3.83117277054426
12061,2,A,106,FF,0.27,1,1,1,1,Gain  ,0.5,2,1342.699,1342.969,3.10442041330938
12061,2,A,107,FF,0.343,1,0,0,-1,Gain  ,-0.5,2,1346.952,1347.295,1.60780895635639
12061,2,A,108,FF,0.415,-1,0,0,0,NoLoss,0,2,1350.689,1351.104,2.44728547824018
12061,2,A,109,FO,0.364,1,1,1,1,Gain  ,0.5,1,1369.488,1369.852,-2.73115664625422
12061,2,A,110,FO,0.379,0,1,1,0,Cntrl ,0,1,1373.257,1373.636,2.74491839230949
12061,2,A,111,FO,0.205,-1,1,1,-1,NoLoss,0.5,1,1376.727,1376.932,-4.38774495330152
12061,2,A,112,FO,0.404,2,0,0,1,Cntrl ,-1,2,1380.08,1380.484,-1.41608434375583
12061,2,A,113,FO,0.316,-1,1,1,-1,NoLoss,0.5,2,1384.2,1384.516,-5.63091260114921
12061,2,A,115,FO,0.237,1,1,1,1,Gain  ,0.5,1,1392.54,1392.777,3.15273250406539
12061,2,A,117,FO,0.233,-1,1,1,-1,NoLoss,0.5,1,1400.447,1400.68,-7.64220674068525
12061,2,A,118,FO,0.362,-1,0,0,1,NoLoss,-1,2,1404.333,1404.695,1.14854936493004
12061,2,A,119,FO,0.34,-1,1,1,-1,NoLoss,0.5,2,1407.953,1408.293,-3.9338198593164
12061,2,A,121,FO,0.258,1,1,1,1,Gain  ,0.5,1,1416.427,1416.685,-2.71278549365991
12061,2,A,122,FO,0.286,-1,1,1,-1,NoLoss,0.5,1,1420.38,1420.666,4.9950952615649
