subj_idx,context,GroupCount,mean_F1,mean_AF8,mean_AF4,mean_F2,mean_F4,mean_F6,mean_F8,mean_FC2,mean_FCz,mean_Con1,mean_Con2,mean_Con3
60301,FO,3,52.45254107,3.203018089,-16.00764914,-25.96142038,4.154568672,6.154660675,3.998622861,45.80501167,27.89533001,-1,1,-1
60301,OF,3,3.993722558,12.94834751,14.61025915,20.57719485,15.8178091,18.08333156,11.01711563,12.77944446,5.15875117,1,-1,-1
60301,OO,3,3.546236131,7.015153786,-1.85942577,-3.906489054,-0.539394538,-9.941760937,4.386733499,8.356653876,11.87767834,1,1,1
62310,FF,3,25.62713999,93.06599893,30.52865664,25.68718115,23.48698616,58.82326847,60.17682446,25.62160762,21.56498824,-1,-1,1
62310,FO,3,7.289033201,-54.2981987,12.99900076,3.195628378,11.47608079,15.82789188,17.12453768,-0.500353018,-10.89722082,-1,1,-1
62310,OF,3,69.75625743,139.7356622,74.65540547,67.73395994,77.36350102,78.5207918,78.34357908,70.85930713,1.090512382,1,-1,-1
62310,OO,3,64.63024516,137.2242283,46.4913133,58.34312089,68.92159208,59.73427412,55.14006604,65.85426505,68.67596542,1,1,1
63321,FF,3,69.22555876,-42.5112354,65.44455539,-30.21869691,47.38718269,18.04718865,256.7541498,-48.36670939,-9.989293655,-1,-1,1
63321,FO,3,14.12842894,-48.41938321,-21.36996237,-70.69206333,37.54850878,47.54763116,-145.3019835,-33.404786,-73.21586537,-1,1,-1
63321,OF,3,190.2024436,-21.16745234,95.94578478,-4.055466652,138.3463582,85.23138767,543.5805047,118.1035695,22.18141039,1,-1,-1
63321,OO,3,85.67306852,46.64516285,-18.8617684,57.94954438,66.55683499,9.869959513,-317.2232889,-138.4723854,17.96625384,1,1,1
65331,FF,3,-4.621179899,5.853051821,16.63149261,-3.71233209,19.99715307,10.46588914,4.028229316,12.91602633,12.02201271,-1,-1,1
65331,FO,3,3.45765845,9.049931208,-4.921624502,6.593215836,-4.424862862,5.145570914,2.648336808,-1.636210442,11.01009687,-1,1,-1
65331,OF,3,10.48462052,6.293319702,5.813265483,39.72129324,7.858371841,14.52668969,7.101046165,36.45717314,36.41023318,1,-1,-1
65331,OO,3,12.66196834,5.030330022,34.51422882,-4.514805158,29.21035756,9.883644899,14.00845472,-1.896672249,-4.246405919,1,1,1
66330,FF,3,-3.226773262,10.87291039,-10.15752506,-5.437642892,-8.453329722,43.95087083,-5.594832261,-5.597325166,-3.05746905,-1,-1,1
66330,FO,3,3.673352242,6.172647688,25.92436292,2.70022334,-6.04095353,97.56416162,-5.039980094,3.35343292,10.56534025,-1,1,-1
66330,OF,3,-16.14034621,11.78236983,12.001082,-12.48889399,-14.15900739,80.68310706,14.02463018,-25.81896162,-35.60303561,1,-1,-1
66330,OO,3,-13.36113834,10.60978593,-4.465314547,-13.93071222,10.91946157,3.724120776,11.92992714,-7.131572247,-11.93170675,1,1,1
67341,FF,3,4.723430157,10.25108384,8.036892494,3.593675296,7.2515589,5.74284337,19.84525834,-7.661098162,15.74046124,-1,-1,1
67341,FO,3,14.23713774,14.90273586,14.50914613,16.34803931,12.77330016,15.50467224,8.354811086,15.62242073,13.42106936,-1,1,-1
67341,OF,3,13.01646715,3.076803353,-2.833811045,29.88053417,2.080788917,0.783919142,-3.144275188,24.24758074,27.24639712,1,-1,-1
67341,OO,3,-7.749891122,2.633851197,-10.77176897,13.24459807,11.51451364,7.500838723,0.693814649,19.54031425,7.891022046,1,1,1
69351,FF,3,23.20594973,-12.41513431,13.01429111,18.71204837,-11.53312429,-14.71251253,-11.80013736,13.76969017,14.62405362,-1,-1,1
69351,FO,3,29.83989784,-0.45603168,8.319780336,10.43775384,6.504535887,4.558680203,-0.473534743,13.72687655,17.97232277,-1,1,-1
69351,OF,3,11.31942172,14.21729783,4.858617769,13.71455781,-4.519842572,-2.873966866,-1.088291751,37.71970624,14.18845207,1,-1,-1
69351,OO,3,6.589787748,2.050466895,4.576883939,4.154915015,2.090521071,1.348310139,2.264588409,4.814931843,8.448840764,1,1,1
70350,FF,3,12.36242104,47.59744856,-42.86540476,64.35913584,66.87613254,44.95238235,62.77038002,81.41296567,-13.75502141,-1,-1,1
70350,FO,3,6.398241043,-16.25078328,106.8405414,57.65930165,-18.08077494,-21.44096899,45.60004616,74.47158231,83.46592246,-1,1,-1
70350,OF,3,138.2331715,15.47484928,30.73655107,88.24665843,81.10311805,10.24922175,-7.830329259,89.84625933,15.35570738,1,-1,-1
70350,OO,3,26.78093783,58.02389611,16.88617706,50.38587157,42.93630473,56.89755498,103.5570939,33.39299997,23.50102615,1,1,1
71361,FF,3,-0.633412679,6.97067372,30.66985771,-1.463854154,3.40943612,160.4742034,8.647665342,9.772610611,3.611904105,-1,-1,1
71361,FO,3,13.58008724,-1.132220851,29.17054436,9.349095874,-19.05600802,31.17762661,-16.07740879,2.997708586,8.995641907,-1,1,-1
71361,OF,3,2.002871407,-0.294173823,4.938131491,5.129082574,-34.83076032,-39.87698142,17.06087123,-2.834760189,1.451199412,1,-1,-1
71361,OO,3,2.358588113,3.259485616,31.21523089,-18.39490477,-15.63762326,37.1641531,-12.52900283,0.743452337,16.93137721,1,1,1
72360,FF,3,-5.44994688,5.009095311,5.77804131,-18.64283387,-9.389238675,-8.36552461,-6.023189942,-13.69181291,-13.04972378,-1,-1,1
72360,FO,3,31.71762196,-2.820051789,5.426464823,0.957998223,0.356070942,3.760691007,0.717273315,-3.735546245,-2.968707561,-1,1,-1
72360,OF,3,14.19750611,7.248098175,8.720759816,-16.74269311,-17.98914814,-14.94303481,9.467535045,-22.35067121,-24.61322196,1,-1,-1
72360,OO,3,39.88680601,17.90385393,26.79959986,33.82287285,28.61574862,25.29920101,20.30139359,27.37498016,26.8076539,1,1,1
74371,FF,3,-11.07734338,20.56619559,-8.566328049,-7.191143513,-0.969744126,11.50140797,4.710381296,0.288022041,-3.499171019,-1,-1,1
74371,FO,3,2.815085597,-15.84692701,6.601564301,3.290237904,-0.938539637,19.11189744,-2.602493498,18.99215243,21.21501915,-1,1,-1
