subj_idx,block_order,block_label,Block_Trial,context,rt,response,Accuracy,Accuracy_inTime,stim,Response_Type,Reward_Amount,Data_Split,EEG_Stim_Time,EEG_Resp_Time,TF_Stim,TF_Fix
12061,2,A,17,OO,0.36,1,1,1,1,Gain  ,1,2,982.5822,982.9422,0.61453868,-2.307139659
12061,2,A,18,OO,0.491,-1,1,0,-1,NoLoss,-1,2,986.1182,986.6093,1.5676775,-3.016340393
12061,2,A,20,OO,0.318,1,1,1,1,Gain  ,1,1,993.5082,993.8262,-3.472853296,-2.592313956
12061,2,A,21,OO,0.401,-1,1,0,-1,NoLoss,-1,1,997.0782,997.4792,2.67569621,-1.24263628
12061,2,A,22,OO,0.314,0,1,1,0,Cntrl ,0,2,1001.214,1001.528,-0.678147081,0.792776865
12061,2,A,23,OO,0.379,-1,1,1,-1,NoLoss,1,2,1004.667,1005.046,1.359402929,1.71467468
12061,2,A,24,OO,0.331,1,1,1,1,Gain  ,1,2,1009.004,1009.335,-5.189977358,0.616576687
12061,2,A,25,OO,0.368,-1,1,1,-1,NoLoss,1,1,1012.624,1012.992,-2.226828712,-3.14068988
12061,2,A,26,OO,0.335,2,0,0,1,Cntrl ,-1,1,1016.794,1017.129,0.350596849,-4.348611816
12061,2,A,27,OO,0.359,0,1,1,0,Cntrl ,0,1,1020.414,1020.773,-0.571326708,0.789758251
12061,2,A,28,OO,0.413,-1,1,0,-1,NoLoss,-1,2,1024.367,1024.78,0.104502441,0.808860004
12061,2,A,29,OO,0.396,1,1,1,1,Gain  ,1,2,1028.02,1028.416,2.11997904,-1.39177696
12061,2,A,30,OO,0.431,0,1,0,0,Cntrl ,0,2,1032.223,1032.654,2.455148871,-0.024356015
12061,2,A,31,OO,0.334,-1,1,1,-1,NoLoss,1,1,1036.377,1036.711,2.207021191,1.313983822
12061,2,A,32,OO,0.303,1,1,1,1,Gain  ,1,1,1040.347,1040.65,-1.207239686,-4.878736088
12061,2,A,33,OO,0.418,1,0,0,0,Gain  ,0,1,1044.634,1045.052,2.765451483,-0.410911077
12061,2,A,34,OO,0.321,1,1,1,1,Gain  ,1,2,1048.704,1049.025,1.636866589,3.296423982
12061,2,A,35,OO,0.411,0,1,0,0,Cntrl ,0,2,1052.457,1052.868,-0.554829502,2.280869131
12061,2,A,37,OF,0.395,-1,1,1,-1,NoLoss,1,1,1068.537,1068.932,-1.037348964,-2.619908741
12061,2,A,38,OF,0.411,0,1,0,0,Cntrl ,0,1,1072.924,1073.335,0.344782418,0.721127827
12061,2,A,39,OF,0.242,1,1,1,1,Gain  ,1,1,1076.56,1076.802,-1.999258993,0.090659916
12061,2,A,40,OF,0.383,-1,1,1,-1,NoLoss,1,2,1079.98,1080.363,0.468579583,-5.057561258
12061,2,A,41,OF,0.387,0,1,1,0,Cntrl ,0,2,1084.033,1084.42,-0.330381846,-3.476577346
12061,2,A,42,OF,0.254,1,1,1,1,Gain  ,1,2,1088.37,1088.624,-1.70477421,-1.53239302
12061,2,A,43,OF,0.324,0,1,1,0,Cntrl ,0,1,1092.407,1092.731,3.690971016,3.906435642
12061,2,A,44,OF,0.344,-1,0,0,1,NoLoss,-0.5,1,1095.776,1096.12,-0.020908184,0.023015018
12061,2,A,45,OF,0.258,-1,1,1,-1,NoLoss,1,1,1099.329,1099.587,-3.106420969,1.663859249
12061,2,A,46,OF,0.296,1,1,1,1,Gain  ,1,2,1103.016,1103.312,-1.38655826,-2.044052948
12061,2,A,47,OF,0.372,0,1,1,0,Cntrl ,0,2,1107.119,1107.491,-0.304602059,4.139517523
12061,2,A,48,OF,0.315,-1,1,1,-1,NoLoss,1,2,1111.389,1111.704,-4.44617588,0.358986911
12061,2,A,49,OF,0.381,0,1,1,0,Cntrl ,0,1,1115.543,1115.924,2.204611538,-0.567636131
12061,2,A,50,OF,0.212,1,1,1,1,Gain  ,1,1,1119.446,1119.658,3.638308826,4.034920908
12061,2,A,51,OF,0.323,-1,1,1,-1,NoLoss,1,1,1123.383,1123.706,-5.28896231,-3.626617238
12061,2,A,52,OF,0.348,1,1,1,1,Gain  ,1,2,1126.969,1127.317,-0.219833944,-2.928187473
12061,2,A,53,OF,0.331,0,1,1,0,Cntrl ,0,2,1131.156,1131.487,-3.526930871,-1.666231391
12061,2,A,54,OF,0.326,-1,1,1,-1,NoLoss,1,2,1134.542,1134.868,1.58234268,-1.309960361
12061,2,A,55,OF,0.283,1,1,1,1,Gain  ,1,1,1138.729,1139.012,-3.223144491,-5.8009192
12061,2,A,56,OF,0.415,0,1,0,0,Cntrl ,0,1,1142.065,1142.48,0.7626436,-1.384176804
12061,2,A,57,OF,0.318,-1,1,1,-1,NoLoss,1,1,1146.085,1146.403,-2.823323398,-1.798444692
12061,2,A,58,OF,0.262,1,0,0,0,Gain  ,0,2,1149.988,1150.25,-0.351432648,3.992643896
12061,2,A,59,OF,0.412,-1,1,0,-1,NoLoss,-0.5,2,1154.092,1154.504,2.413182859,-1.091508047
12061,2,A,60,OF,0.302,1,1,1,1,Gain  ,1,2,1158.028,1158.33,-0.980827773,0.964588883
12061,2,A,61,OF,0.34,2,0,0,-1,Cntrl ,-0.5,1,1161.781,1162.121,0.631652566,5.805027632
12061,2,A,62,OF,0.306,1,1,1,1,Gain  ,1,1,1165.918,1166.224,0.438937368,-4.473057004
12061,2,A,64,OF,0.31,-1,1,1,-1,NoLoss,1,2,1174.475,1174.785,-3.324474817,-3.343474565
12061,2,A,65,OF,0.329,1,1,1,1,Gain  ,1,2,1178.479,1178.808,-0.923575468,1.755561734
12061,2,A,67,OF,0.321,-1,1,1,-1,NoLoss,1,1,1185.968,1186.289,-0.625701746,-3.090234277
12061,2,A,69,OF,0.317,1,1,1,1,Gain  ,1,1,1194.108,1194.425,0.126961669,1.767260505
12061,2,A,70,OF,0.496,-1,1,0,-1,NoLoss,-0.5,2,1198.112,1198.608,2.109722172,1.11136498
12061,2,A,71,OF,0.462,1,1,0,1,Gain  ,-0.5,2,1201.798,1202.26,-6.593836357,1.013331159
12061,2,A,73,FF,0.428,-1,1,0,-1,NoLoss,-0.5,1,1214.075,1214.503,-1.105339426,-1.754377612
12061,2,A,74,FF,0.306,1,1,1,1,Gain  ,0.5,1,1218.128,1218.434,0.463158422,-1.637010997
12061,2,A,76,FF,0.326,-1,1,1,-1,NoLoss,0.5,2,1225.151,1225.477,-3.527440727,-4.616758644
12061,2,A,77,FF,0.387,1,1,1,1,Gain  ,0.5,2,1229.004,1229.391,0.378968988,1.710774427
12061,2,A,78,FF,0.487,1,0,0,0,Gain  ,0,2,1232.824,1233.311,-1.724710409,1.230382798
12061,2,A,79,FF,0.489,1,1,0,1,Gain  ,-0.5,1,1236.36,1236.849,-0.922539029,0.312052328
12061,2,A,80,FF,0.315,-1,1,1,-1,NoLoss,0.5,1,1240.831,1241.146,0.793211367,-2.723479361
12061,2,A,82,FF,0.306,1,1,1,1,Gain  ,0.5,2,1249.371,1249.677,-0.622084287,0.609386737
12061,2,A,84,FF,0.346,-1,1,1,-1,NoLoss,0.5,2,1256.811,1257.157,-3.311663557,-1.454852799
12061,2,A,85,FF,0.28,1,1,1,1,Gain  ,0.5,1,1260.964,1261.244,2.571891743,2.782674978
12061,2,A,87,FF,0.371,-1,1,1,-1,NoLoss,0.5,1,1268.971,1269.342,-1.754945766,-4.238794245
12061,2,A,88,FF,0.312,1,1,1,1,Gain  ,0.5,2,1273.074,1273.386,-0.203870338,-1.453152963
12061,2,A,89,FF,0.448,-1,1,0,-1,NoLoss,-0.5,2,1276.927,1277.375,6.939465255,-2.806997773
12061,2,A,90,FF,0.334,1,0,0,0,Gain  ,0,2,1280.48,1280.814,3.860266241,-1.585528909
12061,2,A,91,FF,0.441,-1,1,0,-1,NoLoss,-0.5,1,1284.834,1285.275,6.222981396,-1.418508829
12061,2,A,92,FF,0.366,1,0,0,0,Gain  ,0,1,1288.52,1288.886,4.653441545,1.264055593
12061,2,A,93,FF,0.207,1,1,1,1,Gain  ,0.5,1,1292.307,1292.514,-0.841439174,-0.17912169
12061,2,A,94,FF,0.298,-1,1,1,-1,NoLoss,0.5,2,1296.377,1296.675,-1.616841869,-3.165880124
12061,2,A,95,FF,0.497,1,1,0,1,Gain  ,-0.5,2,1300.597,1301.094,0.806905245,3.227176498
12061,2,A,97,FF,0.371,1,1,1,1,Gain  ,0.5,1,1307.853,1308.224,-2.706566406,-0.77683464
12061,2,A,99,FF,0.302,-1,1,1,-1,NoLoss,0.5,1,1315.259,1315.561,-1.439021319,-0.377312398
12061,2,A,100,FF,0.334,1,0,0,0,Gain  ,0,2,1318.829,1319.163,1.85545136,2.043808347
12061,2,A,101,FF,0.284,1,1,1,1,Gain  ,0.5,2,1322.448,1322.732,-0.901692858,-1.900978397
12061,2,A,102,FF,0.3,-1,1,1,-1,NoLoss,0.5,2,1326.669,1326.969,-3.000247648,2.000043204
12061,2,A,103,FF,0.26,1,0,0,0,Gain  ,0,1,1330.972,1331.232,2.431379831,-1.428277563
12061,2,A,104,FF,0.36,1,1,1,1,Gain  ,0.5,1,1335.092,1335.452,-2.966819847,-4.272608873
12061,2,A,105,FF,0.361,-1,1,1,-1,NoLoss,0.5,1,1338.712,1339.073,-7.598002366,-8.374882837
