subj_idx,Trial,Response_Counterbalanced,CorrectResponse_Counterbalanced,rt,rt_sec,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount
2011,14,2,2,341,0.341,1,1,Cntrl ,Cntrl ,1
2011,15,1,1,446,0.446,1,0,NoLoss,NoLoss,1
2011,16,3,3,481,0.481,1,0,Gain  ,Gain  ,1
2011,17,2,2,298,0.298,1,1,Cntrl ,Cntrl ,1
2011,18,1,1,354,0.354,1,1,NoLoss,NoLoss,1
2011,19,3,3,308,0.308,1,1,Gain  ,Gain  ,1
2011,20,1,1,415,0.415,1,0,NoLoss,NoLoss,1
2011,21,NA,2,0,0,0,0,Cntrl ,NA   ,1
2011,22,1,1,407,0.407,1,0,NoLoss,NoLoss,1
2011,23,2,2,391,0.391,1,1,Cntrl ,Cntrl ,1
2011,24,3,3,438,0.438,1,0,Gain  ,Gain  ,1
2011,25,2,2,459,0.459,1,0,Cntrl ,Cntrl ,1
2011,26,NA,3,0,0,0,0,Gain  ,NA   ,1
2011,27,1,1,442,0.442,1,0,NoLoss,NoLoss,1
2011,28,NA,3,0,0,0,0,Gain  ,NA   ,1
2011,29,1,1,318,0.318,1,1,NoLoss,NoLoss,1
2011,30,2,2,379,0.379,1,1,Cntrl ,Cntrl ,1
2011,31,3,3,330,0.33,1,1,Gain  ,Gain  ,1
2011,32,1,1,359,0.359,1,1,NoLoss,NoLoss,1
2011,33,2,2,351,0.351,1,1,Cntrl ,Cntrl ,1
2011,34,1,1,416,0.416,1,0,NoLoss,NoLoss,1
2011,35,3,3,342,0.342,1,1,Gain  ,Gain  ,1
2011,36,2,2,380,0.38,1,1,Cntrl ,Cntrl ,1
2011,37,1,1,308,0.308,1,1,NoLoss,NoLoss,1
2011,38,3,3,331,0.331,1,1,Gain  ,Gain  ,1
2011,39,2,2,371,0.371,1,1,Cntrl ,Cntrl ,1
2011,40,1,1,296,0.296,1,1,NoLoss,NoLoss,1
2011,41,3,3,342,0.342,1,1,Gain  ,Gain  ,1
2011,42,1,2,329,0.329,0,0,Cntrl ,NoLoss,1
2011,43,1,1,474,0.474,1,0,NoLoss,NoLoss,1
2011,44,3,3,466,0.466,1,0,Gain  ,Gain  ,1
2011,45,2,2,343,0.343,1,1,Cntrl ,Cntrl ,1
2011,46,1,1,378,0.378,1,1,NoLoss,NoLoss,1
2011,47,3,3,330,0.33,1,1,Gain  ,Gain  ,1
2011,48,2,2,363,0.363,1,1,Cntrl ,Cntrl ,1
2011,49,1,3,311,0.311,0,0,Gain  ,NoLoss,1
2011,50,3,1,372,0.372,0,0,NoLoss,Gain  ,1
2011,51,2,2,263,0.263,1,1,Cntrl ,Cntrl ,1
2011,52,3,3,332,0.332,1,1,Gain  ,Gain  ,1
2011,53,1,1,299,0.299,1,1,NoLoss,NoLoss,1
2011,54,2,2,368,0.368,1,1,Cntrl ,Cntrl ,1
2011,55,3,3,229,0.229,1,1,Gain  ,Gain  ,1
2011,56,2,2,454,0.454,1,0,Cntrl ,Cntrl ,1
2011,57,1,1,277,0.277,1,1,NoLoss,NoLoss,1
2011,58,NA,2,0,0,0,0,Cntrl ,NA   ,1
2011,59,1,1,419,0.419,1,0,NoLoss,NoLoss,1
2011,60,3,3,297,0.297,1,1,Gain  ,Gain  ,1
2011,61,1,1,330,0.33,1,1,NoLoss,NoLoss,1
2011,62,3,3,311,0.311,1,1,Gain  ,Gain  ,1
2011,63,2,2,343,0.343,1,1,Cntrl ,Cntrl ,1
2011,64,NA,3,0,0,0,0,Gain  ,NA   ,1
2011,65,2,2,343,0.343,1,1,Cntrl ,Cntrl ,1
2011,66,1,1,290,0.29,1,1,NoLoss,NoLoss,1
2011,67,2,2,327,0.327,1,1,Cntrl ,Cntrl ,1
2011,68,1,1,456,0.456,1,0,NoLoss,NoLoss,1
2011,69,3,3,242,0.242,1,1,Gain  ,Gain  ,1
2011,70,2,2,264,0.264,1,1,Cntrl ,Cntrl ,1
2011,71,1,1,459,0.459,1,0,NoLoss,NoLoss,1
2011,72,3,3,275,0.275,1,1,Gain  ,Gain  ,1
2011,73,1,1,285,0.285,1,1,NoLoss,NoLoss,1
2011,74,3,3,319,0.319,1,1,Gain  ,Gain  ,1
2011,75,2,2,388,0.388,1,1,Cntrl ,Cntrl ,1
2011,76,1,1,317,0.317,1,1,NoLoss,NoLoss,1
2011,77,2,2,382,0.382,1,1,Cntrl ,Cntrl ,1
2011,78,3,3,329,0.329,1,1,Gain  ,Gain  ,1
2011,79,2,2,344,0.344,1,1,Cntrl ,Cntrl ,1
2011,80,1,3,301,0.301,0,0,Gain  ,NoLoss,1
2011,81,1,1,355,0.355,1,1,NoLoss,NoLoss,1
2011,82,2,2,415,0.415,1,0,Cntrl ,Cntrl ,1
2011,83,3,3,250,0.25,1,1,Gain  ,Gain  ,1
2011,84,1,1,417,0.417,1,0,NoLoss,NoLoss,1
2011,85,2,2,362,0.362,1,1,Cntrl ,Cntrl ,1
2011,86,3,3,337,0.337,1,1,Gain  ,Gain  ,1
2011,87,1,1,280,0.28,1,1,NoLoss,NoLoss,1
2011,88,2,2,367,0.367,1,1,Cntrl ,Cntrl ,1
