subj_idx,Trial,rt,gainVal,lossVal,cntrlVal,Accuracy,Accuracy_inTime,stim,Response_Type,Money_Amount,rt_sec
2011,164,247,1,1,0,1,1,Gain  ,Gain  ,1,0.247
2011,166,352,1,1,0,1,1,Gain  ,Gain  ,1,0.352
2011,168,365,1,1,0,1,1,NoLoss,NoLoss,1,0.365
2011,170,415,1,1,0,0,0,NoLoss,Cntrl ,1,0.415
2011,172,324,1,1,0,0,0,Cntrl ,NoLoss,1,0.324
2011,174,240,1,1,0,1,1,Gain  ,Gain  ,1,0.24
2011,176,388,1,1,0,1,1,NoLoss,NoLoss,1,0.388
2011,178,348,1,1,0,1,1,Cntrl ,Cntrl ,1,0.348
2011,180,336,1,1,0,1,1,Gain  ,Gain  ,1,0.336
3011,2,341,1,1,0,1,1,NoLoss,NoLoss,1,0.341
3011,4,300,1,1,0,1,1,Gain  ,Gain  ,1,0.3
3011,6,392,1,1,0,1,1,NoLoss,NoLoss,1,0.392
3011,8,340,1,1,0,1,1,Gain  ,Gain  ,1,0.34
3011,10,296,1,1,0,1,1,Cntrl ,Cntrl ,1,0.296
3011,12,271,1,1,0,1,1,NoLoss,NoLoss,1,0.271
3011,14,339,1,1,0,1,1,NoLoss,NoLoss,1,0.339
3011,16,463,1,1,0,1,0,Gain  ,Gain  ,1,0.463
3011,18,309,1,1,0,1,1,Cntrl ,Cntrl ,1,0.309
3011,20,484,1,1,0,1,0,Cntrl ,Cntrl ,1,0.484
3011,22,343,1,1,0,1,1,Cntrl ,Cntrl ,1,0.343
3011,24,387,1,1,0,1,1,Gain  ,Gain  ,1,0.387
3011,26,267,1,1,0,1,1,NoLoss,NoLoss,1,0.267
3011,28,314,1,1,0,1,1,NoLoss,NoLoss,1,0.314
3011,30,394,1,1,0,1,1,Gain  ,Gain  ,1,0.394
3011,32,268,1,1,0,1,1,Gain  ,Gain  ,1,0.268
3011,34,350,1,1,0,1,1,Gain  ,Gain  ,1,0.35
3011,36,378,1,1,0,1,1,Cntrl ,Cntrl ,1,0.378
3011,38,0,1,1,0,0,0,Gain  ,NA   ,1,0
3011,40,290,1,1,0,1,1,NoLoss,NoLoss,1,0.29
3011,42,294,1,1,0,1,1,Cntrl ,Cntrl ,1,0.294
3011,44,373,1,1,0,1,1,NoLoss,NoLoss,1,0.373
3011,46,381,1,1,0,1,1,Gain  ,Gain  ,1,0.381
3011,48,470,1,1,0,1,0,Cntrl ,Cntrl ,1,0.47
3011,50,474,1,1,0,0,0,Cntrl ,Gain  ,1,0.474
3011,52,375,1,1,0,0,0,Cntrl ,Gain  ,1,0.375
3011,54,305,1,1,0,1,1,NoLoss,NoLoss,1,0.305
3011,56,372,1,1,0,1,1,Cntrl ,Cntrl ,1,0.372
3011,58,391,1,1,0,1,1,Gain  ,Gain  ,1,0.391
3011,60,400,1,1,0,1,0,NoLoss,NoLoss,1,0.4
3011,62,381,1,1,0,1,1,NoLoss,NoLoss,1,0.381
3011,64,307,1,1,0,1,1,Cntrl ,Cntrl ,1,0.307
3011,66,274,1,1,0,1,1,NoLoss,NoLoss,1,0.274
3011,68,337,1,1,0,1,1,Gain  ,Gain  ,1,0.337
3011,70,0,1,1,0,0,0,Gain  ,NA   ,1,0
3011,72,315,1,1,0,1,1,NoLoss,NoLoss,1,0.315
3011,74,401,1,1,0,1,0,NoLoss,NoLoss,1,0.401
3011,76,307,1,1,0,1,1,NoLoss,NoLoss,1,0.307
3011,78,374,1,1,0,1,1,Gain  ,Gain  ,1,0.374
3011,80,382,1,1,0,1,1,Gain  ,Gain  ,1,0.382
3011,82,0,1,1,0,0,0,Cntrl ,NA   ,1,0
3011,84,371,1,1,0,1,1,Gain  ,Gain  ,1,0.371
3011,86,0,1,1,0,0,0,Gain  ,NA   ,1,0
3011,88,392,1,1,0,1,1,Gain  ,Gain  ,1,0.392
3011,90,283,1,1,0,1,1,NoLoss,NoLoss,1,0.283
3011,92,378,1,1,0,1,1,Gain  ,Gain  ,1,0.378
3011,94,449,1,1,0,0,0,Gain  ,Cntrl ,1,0.449
